town,riverName,station,typicalRangeHigh,lat,typicalRangeLow,lon,label
Kirk Hammerton,River Nidd,F2102,2.36,53.998678,0.218,-1.266199,Skip Bridge
St Michael's On Wyre,Wyre,720517,4.1,53.863761,0.4,-2.817872,St Michaels
Laverstock,River Bourne,43119,0.568,51.072524,0.097,-1.77754,Laverstock
Chingford,Ching Brook,5376TH,0.75,51.619051,0.151,0.008836,Chingford
Neatishead,River Ant,E21563,0.75,52.735281,0.25,1.480458,Barton Broad
Bridge Trafford,Gowy,684027,1,53.234132,0.196,-2.827991,Bridge Trafford
Loddiswell,River Avon,46119,0.889,50.31395,0.246,-3.800717,Loddiswell
Scayne's Hill,Ouse [So],E8210,2,51.002867,0.01,-0.027718,Freshfield Bridge
Killamarsh,River Rother,L0307,1.48,53.326718,0,-1.328824,Killamarsh
Appledore,North Devon Coast,50122,unknown,51.052481,unknown,-4.190446,Appledore
Staines,Wraysbury River,2896TH,1.3,51.43615,0.059,-0.514892,"Stains, Pounds Mill"
Filgrave,River Ouse,E60601,1.865,52.129553,1.125,-0.753104,Ravenstone Mill Sluice
Trowbridge,River Biss,53122,1.8,51.31742,0.164,-2.206553,Trowbridge
Alton,Caker Stream,3015TH,0.249,51.140148,0,-0.959908,Caker Stream
Islip,Nene (Wollaston-Wansford),E2062,1.845,52.401841,0.675,-0.5448,Islip Sluice
Aldington,East Stour Trib  Great Stour,E4351,1.732,51.105167,0.008,0.948046,Aldington Upstream
Abingdon,Ock,1681TH,1.5,51.683092,0.45,-1.268125,Abingdon Peachcroft
Milton On Stour,Shreen Water,43207,0.75,51.049578,0.099,-2.276018,Colesbrook
Mansfield,River Maun,4115,1,53.166753,0.246,-1.164236,Mansfield The Dykes
Broadclyst,River Clyst,45162,0.762,50.752006,0.099,-3.454461,Withy Bridge
Bransford,River Teme,2086,4.4,52.177055,0.363,-2.28833,Bransford
Dodford,Nene - Whitton Branch,E2285,1.18,52.240918,0.025,-1.083171,Dodford
Queenborough,Medway,E2900,unknown,51.415798,unknown,0.742491,Queenborough
Winchester,Itchen,E12470,0.81,51.0582,0.319,-1.308338,Wharf Mill
St Erth,River Hayle,48125,0.8,50.156881,0.237,-5.432918,St Erth
Thirsk,Cod Beck,L2313,2,54.235258,0.174,-1.341973,Thirsk
Castleton,River Esk,L2907,2,54.466168,0.01,-0.944968,Castleton
Bredbury,Tame,692423,0.422,53.42353,0.104,-2.141405,Portwood
Ilfracombe,East Wilder Brook,50197,0.249,51.196412,0.033,-4.120133,Ilfracombe Lambda
Newburgh,Douglas,700306,2.5,53.607043,0.294,-2.793103,Wanes Blades
Bulwell,River Leen,4203,1.1,53.009557,0.238,-1.190048,Bulwell
Hebden Bridge,Hebden Water,L1231,0.97,53.744763,0.1,-2.010569,Nutclough
Haydon Wick,Ray (Wilts),0319TH,0.531,51.571821,0.034,-1.816698,Rodbourne
Edgware,Silk Stream,3826TH,2,51.607093,0.61,-0.271414,Edgware Hospital
Sawbridgeworth,Stort,5151TH,1.45,51.812151,0.939,0.158674,Sawbridgeworth
Witham Friary,Somerset Frome,53197,0.379,51.169425,0,-2.364153,Witham Friary
Stanstead,River Glem,E22548,1.04,52.09308,0.063,0.693213,Glemsford
Bridge End,South Forty Foot,E1662,2.59,52.90501,0.081,-0.255888,Donington Bridge
