town,riverName,station,typicalRangeHigh,lat,typicalRangeLow,lon,label
North Molton,River Mole,50135,0.541,51.055152,0.095,-3.795036,North Molton
Godmanchester,River Ouse,E24302,0.488,52.318507,0.305,-0.176335,Godmanchester
Newbury,Kennet,2250TH,1.15,51.401605,0.941,-1.323874,Newbury
Hinton,Cherwell,1408TH,1.4,52.167771,0.848,-1.212815,Woodford Halse
Glusburn,Eastburn Beck,L1527,0.435,53.897872,0.043,-2.008295,Glusburn Bridge
Easton Grey,Sherston Avon,53135,0.501,51.581999,0.149,-2.158019,Fosseway
Bridgham,Thet,E22152,0.503,52.432388,0.1,0.877025,Bridgham
Maiden Newton,River Frome,44204,0.74,50.776561,0.024,-2.574345,Maiden Newton
New Mills,Goytside farm,692348,1.5,53.357485,0.58,-1.996738,Goytside Farm
Ashurst,Adur,E9157,3,50.937693,0.25,-0.301834,Merrions Weir Downstream
Barnes,Beverley Brook,4091TH,2.14,51.47009,0.897,-0.245065,Barnes
Pangbourne,Thames,2004TH,0.164,51.486605,0.009,-1.088869,Whitchurch Lock
Oulton,Oulton Beck,F1715,0.6,53.747988,0.088,-1.447992,Farrer Lane
Pilling Lane,Cockers Dyke,720780,1.1,53.938698,0.408,-2.955067,"Preesall Pumping Station, Cockers Dyke"
Orcheston,Groundwater level,43122,unknown,51.202428,unknown,-1.958392,Tilshead
Crayford,Cray,E15260,0.85,51.450401,0.076,0.173287,Crayford
Elm Park,Beam,5541TH,2.6,51.546517,0.084,0.183966,Hornchurch
Buckfastleigh,River Dart,46122,1.045,50.479033,0.291,-3.761402,Austins Bridge
Melverley,River Severn,2831,3.4,52.74743,0.924,-2.972211,Cae Howel
Sheffield,Charlton Brook,L0668,0.35,53.442771,0.036,-1.474086,High Green
Bishopstoke,Itchen,E12483,1.7,50.970553,0.45,-1.344248,Bishopstoke
Wadebridge,North Cornwall Coast,49122,unknown,50.516694,unknown,-4.834988,Wadebridge
Great Easton,Nene (Wollaston-Wansford),E4823,1.79,52.529248,0.237,-0.758769,Great Easton Flood Storage Reservoir
Kirk Bramwith,River Don,L0904,3.935,53.596385,1.52,-1.063688,Kirk Bramwith
Richmond,Thames Tideway,0009,unknown,51.462258,unknown,-0.316193,Richmond
Wendron,River Cober,48138,1.1,50.131125,0.133,-5.255319,Boscadjack
Winchmore Hill,Salmon Brook,5355TH,2.1,51.643461,0.958,-0.095003,"Enfield, The Chine"
Blandford St Mary,River Stour,43210,1.1,50.853069,0.388,-2.167089,Blandford
Todmorden,Walsden Water,L1207,1.25,53.710539,0.199,-2.101856,Todmorden Salford
Castleford,River Aire,L1703,2,53.731002,1.02,-1.358177,Castleford
Stanford Bridge,River Teme,2646,1.367,52.28899,0.221,-2.418688,Stanford Bridge
Toft Hill,River Gaunless,024024,1.63,54.634237,0.368,-1.742799,Spring Gardens Dam
Braystones,Ehen,744312,1.7,54.440158,0.34,-3.529373,Braystones
Compstall,Etherow,692190,0.75,53.413802,0.078,-2.058026,Compstall
Stockport,Mersey,692524,1.5,53.407306,0.398,-2.174445,Brinksway
Pershore,Bow Brook,2015,1.9,52.114425,0.165,-2.108012,Besford Bridge
Birstwith,River Nidd,F2106,1.5,54.038156,0.105,-1.650292,Birstwith
Kites Hardwick,River Leam,2609,1.138,52.313513,0.01,-1.314911,Kites Hardwick
Netherbury,River Brit,44107,1.73,50.789421,0.276,-2.750022,Netherbury
Cheltenham,Wymans Brook,2511,0.39,51.91699,0.22,-2.086745,Windyridge Road
Bardsey,Bardsey Beck,L2043,1.38,53.883728,0.121,-1.440943,Bardsey
Bickley,Kyd Brook,4382TH,1.9,51.405031,1.039,0.056251,Woodlands Road
Dane End,Beane,4868TH,1.2,51.875292,0.692,-0.062702,Dane End
Manthorpe,East Glen (To Kates Bridge),E2710,0.89,52.731094,0.31,-0.419825,Manthorpe
Sedbergh,Rawthey,723423,1.556,54.314107,0.37,-2.555012,Brigflats
Sampford Brett,Doniford Stream,51110,0.385,51.155718,0.08,-3.302248,Sampford Brett
Poole,Dorset Coast,44232,unknown,50.710531,unknown,-1.992859,Poole Harbour
Groombridge,Eridge Stream Tributary  Medway,E714,1.25,51.108316,0.127,0.172486,Hendal Bridge
Darfield,River Dearne,L0807,1.25,53.542673,0.11,-1.370686,Houghton
Lewes,Ouse [So],E8970,2.9,50.877166,0.302,0.012884,Lewes Corporation Yard
Barnstaple,Coney Gut,50126,1.749,51.073179,1.464,-4.041276,Coney Gut
Great Ayton,River Leven,L3807,0.74,54.489046,0.03,-1.144757,Great Ayton
Saltford,River Avon,53126,1.409,51.399488,0.455,-2.447727,Saltford
Kingskerswell,Aller Brook,46150,0.415,50.486806,0.294,-3.568943,Kingskerswell
Thornton le Dale,Thornton Beck,L2725,0.7,54.23945,0.107,-0.717218,Thornton le Dale
"Sands Centre, Carlisle",River Eden,762600,Not availabl,54.898639,unknown,-2.932277,"Sands Centre, Carlisle"
Bude,North Cornwall Coast,49150,unknown,50.832964,unknown,-4.558854,Bude
Roydon,Stort,5190TH,1.6,51.764828,1.337,0.015113,"Roydon, Glen Faba"
Amesbury,River Avon,43113,0.7,51.17155,0.145,-1.785174,Amesbury
Binfield,The Cut,2620TH,0.93,51.433827,0.125,-0.773574,Binfield
Rothbury,River Coquet,022009,1.8,55.308429,0.261,-1.895992,Rothbury
Petts Wood,Kyd Brook,4378TH,0.9,51.383249,0.046,0.072664,Eynsford Close
Wasdale,Irt,743008,0.85,54.422403,0.25,-3.334074,Galesyke
Mapledurham,Thames,2199TH,0.212,51.486033,0.017,-1.039654,Mapledurham Lock
Stratton,River Strat,49113,1,50.844477,0.18,-4.509166,Bush
Wickford,River Crouch,E21284,1.67,51.61221,0.021,0.52337,Wickford
Truro,South Cornwall Coast,48129,unknown,50.252215,unknown,-5.041246,Truro Harbour
Pinner,Pinn,2802TH,0.5,51.602909,0.148,-0.384264,Waxwell Lane
Rawtenstall,Limey Water,690138,0.351,53.705772,0.044,-2.286263,Rawtenstall
Lowdham,Cocker Beck,4207,0.6,53.010442,0.103,-1.024175,Lowdham Grange
Legburthwaite,St Johns Beck,750605,1.5,54.565937,0.11,-3.063696,Thirlmere
Spalding,Welland Below Peakirk,E1072,1.452,52.799742,0.954,-0.132532,Marsh Road Sluice
Lincoln,Witham,E1406,0.988,53.228743,0.846,-0.528903,Stamp End Sluice
Pudsey,Farnley Beck,L17033,0.4,53.798147,0.066,-1.629685,Pudsey
East Ness,River Rye,F2505,1.3,54.203845,0.34,-0.937557,Ness
Burneside,Kent,730120,1.2,54.36176,0.13,-2.771951,Bowston
Deeping St James,Welland Below Peakirk,E2613,1.152,52.666216,0.944,-0.280199,Deeping St James
Colyton,River Coly,45217,0.51,50.747683,0.185,-3.110915,Bonehayne
Tavistock,Tavy,47172,1.648,50.550641,0.78,-4.14273,Tavistock
Longtown,Lochinvar Beck,770500,unknown,55.009258,unknown,-2.963066,"Lochinvar storage basin, Longtown"
Flamstead End,Rags Brook,5308TH,2.25,51.713361,0.767,-0.060582,"Cheshunt, Rosedale way"
West Auckland,River Gaunless,024015,1.27,54.633826,0.091,-1.719549,West Auckland
Stratford St Andrew,River Alde,E23151,0.268,52.188599,0.096,1.451217,Farnham
Weybridge,Wey,3090TH,1.3,51.37248,0.96,-0.466322,Weybridge
Watlington,River Ouse,E23745,unknown,52.676627,unknown,0.36647,Magdalen Bridge
Linstock,Eden,762540,2.4,54.912827,0.114,-2.893015,Linstock
Mary Tavy,River Tavy,47135,2,50.585989,0.061,-4.106699,Mary Tavy
Bloxham,Bloxham Brook,1431TH,0.809,52.017279,0.636,-1.380792,Bloxham
Handsworth,River Rother,F0304,1.78,53.366398,0.371,-1.352246,Woodhouse Mill Regulator
Earby,Earby Beck,L1546,0.227,53.918527,0.002,-2.130286,Earby Youth Hostel
Worcester,Barbourne Brook,2131,1.35,52.211373,0.544,-2.215962,Shelley Close
Lea,Woodbridge Brook,53154,0.677,51.578233,0.052,-2.074985,Crabb Mill
Bagshot,Windle Brook,2941TH,1,51.361518,0.4,-0.689296,Bagshot
Chesterfield,River Rother,L0204,1.33,53.239901,0.047,-1.420925,Chesterfield Tapton Bridge
Leighton Buzzard,River Ouzel,E21187,0.326,51.907687,0.064,-0.668546,Leighton Buzzard
Dolton,River Torridge,50117,1.429,50.882269,0.03,-4.065162,Dolton
Beverley,River Hull,L3204,3.6,53.843243,1.524,-0.399574,Beverley Shipyard
Corbridge,River Tyne,023021,3.3,54.974805,0.132,-2.023458,Corbridge
Worcester Park,Beverley Brook,4020TH,1.75,51.380413,0.951,-0.243611,Worcester Park
Coxbank,Weaver,680301,1.7,52.983736,0.107,-2.518888,Audlem
Preston,Ribble,713030,3,53.752898,0.15,-2.680437,Walton-Le-Dale
Morden,Pyl Brook,4050TH,1.3,51.391152,0.459,-0.216322,Morden Park
King's Bromley,River Trent,4012,1.521,52.75692,0.583,-1.805399,Kings Bromley
Kingston Vale,Beverley Brook,4080TH,1.4,51.431619,0.1,-0.25215,Wimbledon Common
Cowbeech,Cuckmere,E7842,unknown,50.912658,unknown,0.290758,Cowbeech
Fadmoor,Hodge Beck,F2570,0.453,54.30324,0.162,-0.999545,Cherry Farm
Aintree,Alt,694744,0.59,53.47815,0.21,-2.918171,Kirkby
Bedford,River Ouse,E21609,0.524,52.133733,0.252,-0.460042,Bedford
Willen,River Ouzel,E21511,0.719,52.058687,0.265,-0.714748,Willen
Chertsey,Chertsey Bourne,2937TH,1.97,51.386331,0.72,-0.501357,Free Prae Road
Boroughbridge,River Tutt,L2210,13.6,54.09646,11.908,-1.394448,"Boroughbridge, Tutt level"
Greenfield,Tame,692418,0.256,53.542889,0.04,-2.009008,Uppermill
Rockland St Mary,River Yare,E21238,1.1,52.590375,0,1.436891,Rockland St Mary
High Wycombe,Hughenden Stream,2569TH,0.177,51.635574,-0.23,-0.753691,Wycombe Hugh
Ludlow,River Corve,2169,2.5,52.381603,0.771,-2.724237,Ludlow Corve
Ashleworth,River Severn,2071,3.576,51.922936,0.579,-2.265002,Ashleworth
Combs Ford,River Gipping,E23277,0.97,52.181244,0.13,1.008338,Stowmarket
Smarden,Beult,E2270,1.548,51.148275,0.278,0.682267,Smarden
Perry Barr,River Tame,4087,0.868,52.524933,0.41,-1.911514,Perry Park
Bourton-On-The-Water,Windrush,1020TH,0.225,51.886693,0.082,-1.767911,Bourton Windrush
Wyre Forest,Dowles Brook,2034,1,52.385318,0.084,-2.337878,Oak Cottage
Blawith,Crake,737537,0.95,54.284617,0.18,-3.085173,Low Nibthwaite
Little Ribston,River Crimple,F2125,0.472,53.971501,0.15,-1.388637,Blackstones Farm
Eastgate,Rookhope Burn,024006,0.82,54.74592,0.036,-2.076078,Eastgate
Hellingly,Bull,E8010,unknown,50.888318,unknown,0.244134,Hellingly
Bolingey,Bolingey Stream,48110,1.09,50.333417,0.135,-5.144361,Bolingey Cocks Bridge
Little Bowden,Jordan,E1782,1.39,52.470494,0.04,-0.909111,Litte Bowden Flood Storage Reservoir
Bruton,River Brue,52211,0.691,51.112337,0.207,-2.451073,Bruton Surgery
Manchester,Medlock,690713,1,53.474178,0.069,-2.228957,London Road
Hythe End,Colne Brook,2894TH,2.14,51.440219,0.43,-0.535292,Hythe End
Chiddingstone Causeway,Eden Tributary  Medway,E1151,2.5,51.189651,0.603,0.160853,Vexour Bridge
"Hull High Flaggs, Lincoln Street",River Aire,L1810,3.1,53.697129,0.25,-0.989661,Snaith Ings
Bishops Frome,Frome,055028_TG 9302,0.9,52.137017,0.123,-2.488532,Bishops Frome
Stickford,Hagnaby Beck,E1708,2.25,53.106632,0.025,0.0137,Hagnaby Beck
Long Wittenham,Thames,1801TH,0.849,51.648617,0,-1.210808,Clifton Lock
Buttercrambe,River Derwent,F2807,1.3,54.019124,0.277,-0.885796,Buttercrambe
Guy's Head,Nene (Orton - Wash),E2085,unknown,52.808232,unknown,0.210573,West Lighthouse
Debenham,River Deben,E24795,1.46,52.232016,0.08,1.183613,Debenham
Bucknall,River Trent,4040,0.388,53.017569,0.067,-2.162134,Bucknall
Manaccan,Manacan River,48185,1,50.081307,0.034,-5.125068,Manaccan
Blackburn,Blakewater,713119,1.5,53.744388,0.09,-2.490462,Harrison Street
Barnard Castle,River Tees,F3504,1.7,54.544622,0.462,-1.928854,Barnard Castle
Catterick Garrison,Sour Beck,L2373,0.5,54.373262,0.064,-1.705009,Catterick Garrison
Seaton,River Seaton,49132,0.7,50.410447,0.124,-4.394551,Trebrownbridge
Rushton Spencer,Dane,681003,0.476,53.169457,0.172,-2.104665,Hug Bridge
Cleckheaton,Blacup Beck,L1389,0.54,53.72204,-0.002,-1.716507,Cleckheaton Hightown Road
Lodsworth,Lod,E10440,1.5,50.992202,0.024,-0.674476,Halfway Bridge
Southend,Thames Tideway,0019,unknown,51.514457,unknown,0.723335,Southend
Water Orton,River Tame,4003,1.436,52.52039,0.27,-1.751178,Water Orton
Botley,Bulstake Stream,1645TH,1.953,51.752648,0.87,-1.281126,New Botley
South Hinksey,Hinksey Stream,1675TH,1.186,51.730973,0.841,-1.251352,Cold Harbour
Lancaster,Burrow Beck,724700,0.436,54.039446,0.262,-2.780563,Burrow Beck
Cannington,Cannington Brook,52151,0.481,51.149147,0.205,-3.061825,Cannington
New Malden,Pyl Brook,4063TH,1.6,51.397462,0.094,-0.230955,Kings College
Wray,Hindburn,724427,0.792,54.105893,0.116,-2.605757,Wray
Boroughbridge,River Ure,L2201,13,54.09646,9.622,-1.394448,Boroughbridge
Latton,Ampney Brook,0490TH,0.844,51.654587,0,-1.849612,Sheeppen Bridge
Ilton,River Isle,52114,0.54,50.964926,0.075,-2.912024,Ashford Mill
Green Street,Borehamwood Brook,2821TH,1.6,51.668568,0.827,-0.287687,Borehamwood
Upton,Arrowe Brook,685517,0.502,53.395655,0.119,-3.121735,Acton Lane
Linton,Beult,E2261,2.6,51.202357,0.114,0.515045,Stilebridge
Cheltenham,Wymans Brook,2656,0.32,51.921925,0.07,-2.099682,Manor Road
Tonbridge,Medway,E1550,2.3,51.194615,0.882,0.278452,Town Lock
Doveridge,River Dove,4078,1.405,52.902503,0.67,-1.834928,Doveridge
Crondall,Hart,2453TH,1.1,51.237321,0.6,-0.859739,Redlands Lane
Sandhurst,Hatherley Brook,2619,2.79,51.887632,0.57,-2.251427,Sandhurst (Hatherley Brook)
Shipton-On-Cherwell,Cherwell,1460_w1TH,0.811,51.861393,0.143,-1.30321,Enslow Weir A
Lealands,Bull,E8001,unknown,50.895273,unknown,0.24023,Leabridge
Gunnislake,River Tamar,47117,3,50.531278,0.297,-4.221847,Gunnislake
Selham,Lod,E10380,1.842,50.983264,0.466,-0.669759,Lodsbridge
Horbury,River Calder,L1305,2.3,53.655883,0.179,-1.562677,Horbury
Waltham Abbey,Cobbins Brook,5327TH,2.2,51.691132,0.033,0.015788,Waltham Abbey
Worthenbury,Wych Brook,067043,1.382,53.007817,0.505,-2.866276,Wych Brook
Snaith,River Aire,L1801,4.5,53.696778,0,-1.027611,Carlton Bridge
Shoreham Beach,Adur,E8980,unknown,50.828848,unknown,-0.24883,Shoreham
Banbury,Cherwell,1420TH,0.485,52.066379,0.02,-1.333286,Banbury
Muddiford,Bradiford Water,50136,0.462,51.118685,0.117,-4.048455,Plaistow Mill
Salisbury,River Avon,43160,0.94,51.061054,0.286,-1.794476,Salisbury Harnham Bridge
Ash,Blackwater,2419TH,1.45,51.237339,0.563,-0.736289,Tongham
Styal,Dean,693333,0.506,53.343712,0.074,-2.232417,Stanneylands
Brokenborough,Tetbury Avon,53136,0.519,51.602656,0.128,-2.124925,Brokenborough
Loughton,Roding,5470TH,1,51.640481,0.029,0.081584,Loughton
Witney,Windrush,1082TH,1.246,51.789786,0.464,-1.484269,Witney
Stinsford,River Frome,44205,0.397,50.712042,0.083,-2.414359,Louds Mill
Staines,Thames,2900TH,4.1,51.431611,2.699,-0.512248,Staines
Cheswick Green,River Blythe,4129,0.545,52.376154,0.187,-1.814434,Cheswick Green
Barrasford,River North Tyne,023003,3.35,55.053183,0.361,-2.148665,Reaverhill
Fordingbridge,River Avon,43123,1.35,50.928396,0.597,-1.777288,East Mills Flume
Ilam,River Manifold,4031,0.524,53.053456,0.095,-1.793028,Ilam
Clacton-On-Sea,Essex Coast,E43214,unknown,51.784824,unknown,1.156997,Clacton Pier
Bellever,East Dart River,46123,0.871,50.582293,0.451,-3.898034,Bellever
Barcombe,Ouse [So],E8312,1,50.915667,0.082,0.043425,Barcombe near reservoir
Maesbrook,Flood Channel,2832,0.516,52.779686,0.105,-3.037866,Maesbrook
Myerscough,Brock,720248,0.927,53.862594,0.12,-2.790936,Roe Bridge
Sheffield,Blackburn Brook,L0669,0.416,53.423952,-0.018,-1.416682,Sheffield Wincobank
Bedford,River Ouse,E21034,0.264,52.145596,0.192,-0.405558,Castle Mill (Bedford)
Mount,River Fowey,49123,1.8,50.458709,0.3,-4.604746,Wainsford
Burntcommon,East Clandon Stream,3075TH,2.2,51.287835,0.805,-0.505999,Send
Carswell Marsh,Thames,0903TH,0.295,51.698716,0.012,-1.534037,Rushey Lock
Hull,Burstwick Drain,L3311,unknown,53.733596,unknown,-0.230199,Salt end
Northenden,Mersey,692710,1.5,53.408784,0.27,-2.252674,Northenden
Macclesfield,Bollin,693421,0.45,53.251492,0.11,-2.120243,Old Mill Lane
Cropredy,Cherwell,1416TH,1.553,52.114915,1.044,-1.315184,Cropredy Bridge
The Leigh,Leigh Brook,2188,1.3,51.926224,0.071,-2.197575,Leigh Court
Newbold On Avon,River Avon,2090,1.079,52.38548,0.035,-1.26252,Rugby
Barrowford,Pendle Water,712153,1.66,53.84567,0.069,-2.22323,Reedyford
Oakley,River Waveney,E23036,0.9,52.359187,0.151,1.182279,Billingford
Swanton Morley,River Wensum,E23296,0.7,52.725484,0.06,0.990183,Swanton Morley
Pickering,Pickering Beck,F2515,0.6,54.227169,0.065,-0.788071,"Pickering, Ings Bridge"
Holgate,Holgate Beck,L2452,1.25,53.964636,0.002,-1.111032,Holgate
High Bentham,Wenning,724320,1.14,54.113463,0.347,-2.510184,Bentham Bridge
Tanbridge,Arun,E10023,32.6,51.061034,32.15,-0.335071,Tanbridge
Fordcombe,Medway,E1541,2.5,51.144544,0.147,0.168468,Chafford
Biggleswade,River Ivel,E19023,0.476,52.085111,0.13,-0.267906,Biggleswade
Lady Bridge,River Tame,4069,1.296,52.631289,0.864,-1.697508,Tamworth
Bishopbridge,Ancholme,E2846,1.59,53.406624,0.041,-0.44906,Rase at Bishopbridge
Croston,Yarrow,700408,1,53.655882,0.226,-2.760429,Croston
Rodington,River Roden,2016,1,52.723597,0.208,-2.609812,Rodington
Lechlade On Thames,Leach,0890TH,0.422,51.692891,0.034,-1.672984,Lechlade
Lingfield,Eden Tributary  Medway,E1170,1,51.171954,0.069,-0.007351,Lingfield Eden Brook
Scalby Mills,River Sea Cut,F2603,0.368,54.302457,0.077,-0.421725,Sea Cut at Scarborough
Bentley,River Don,F0908,3.05,53.529564,0.208,-1.141573,Doncaster
Woolston,Itchen,E12660,unknown,50.890128,unknown,-1.38803,Woolston
Weeton,River Wharfe,L2007,3.3,53.903016,0.319,-1.552492,Arthington
Bassingham,Brant,E1727,1.99,53.113634,0.215,-0.600069,Horseshoe Bridge
Greenholme,River Irthing,763308,0.861,54.914677,0.224,-2.803045,Greenholme
Williton,Monksilver Stream,51111,0.275,51.159618,0.024,-3.320133,Williton
Cundy Cross,River Dearne,L0808,2.2,53.551107,0.116,-1.439991,Cundy Cross
Okehampton,East Okement River,50127,0.401,50.735421,0.088,-3.981173,Fatherford
Broom,River Arrow,2104,0.488,52.180399,0.12,-1.87505,Broom
Twerton,River Avon,53127,0.806,51.38438,0.4,-2.37652,Bath Destructor Bridge
Kendal,Mint,730404,1.2,54.343531,0.18,-2.733522,Mint Bridge
Lindfield,Ouse [So],E8340,1.9,51.021082,0.475,-0.073715,Lindfield Bridge
Sheffield,River Sheaf,F0402,0.85,53.373248,0.12,-1.464871,Highfield
Boldron,River Greta,F3523,1.5,54.50509,0.073,-1.948998,Rutherford Bridge
Ribchester,Ribble,713040,3.9,53.811176,0.15,-2.531031,Ribchester School
Adwick le Street,Ea Beck,L0933,0.999,53.57617,0.211,-1.176242,Adwick le Street White Cross Bridge
Leeds,River Aire,F1707,2.12,53.801534,0.292,-1.574829,Armley
Rushall,River Avon,43114,0.6,51.302514,0.169,-1.809882,Upavon East
North Muskham,River Trent,4022,3.3,53.131855,0.798,-0.803653,North Muskham
Newton Abbot,River Lemon,46114,0.741,50.533259,0.208,-3.657787,Holbeam Dam
Kirby Wiske,River Wiske,F2320,2,54.253895,0.182,-1.425912,Kirby Wiske
Acle,River Bure,E23931,0.95,52.649186,0.14,1.567619,Acle Bridge
Purton Stoke,Key,0184TH,1.75,51.61322,0.504,-1.87404,Purton Stoke
Cottingley,River Aire,L1607,1.7,53.838116,0.278,-1.828238,Cottingley Bridge
Croxley Green,Gade,2849TH,1.1,51.645553,0.073,-0.436992,Croxley Green
York,Tang Hall Beck,L2480,2.99,53.962611,0.112,-1.057605,Tang Hall
Towcester,River Tove,E61901,0.85,52.135918,0.224,-0.996201,Towcester
Hickling Heath,River Thurne,E21150,0.77,52.745921,0,1.570233,Hickling Broad
Grove Park,Ravensbourne,4326TH,1.579,51.422952,0.471,-0.007672,Beckenham Park
Standford,Wey,3028TH,1.204,51.101202,0.798,-0.825956,Passfield Mill
Grove Park,Quaggy,4386TH,0.7,51.431438,0.035,0.027081,Chinbrook Park
Yarcombe,River Yarty,45218,0.41,50.8568,0.005,-3.058949,Court Place Farm
Germansweek,Wolf,47173,0.876,50.726814,0.067,-4.203103,Germansweek
Stoodleigh,River Exe,45120,1.914,50.949994,0.93,-3.506375,Stoodleigh
Bishop Auckland,River Gaunless,024016,2,54.646651,0.466,-1.672987,Dovecote Hill
Thorington Street,River Stour,E22678,1.57,51.971749,0.205,0.940326,Langham
Theale,Kennet,2290TH,0.828,51.432753,0.225,-1.067068,Theale
York,River Ouse,L2406,1.9,53.958791,0.045,-1.085536,Viking Recorder
Water End,Mimmshall Brook,2810TH,1.5,51.718066,0.046,-0.219123,North Mymms
Pillaton,River Lynher,47136,1.5,50.440154,0.218,-4.298799,Pillaton
Jeffy Knotts,River Brathay,735123,1.754,54.422024,0.447,-2.98839,Jeffy Knotts
North Warnborough,Whitewater,2442TH,0.35,51.263973,0.097,-0.950093,Lodge Farm
Creeting St Mary,Stonham Watercourse,E23115,0.81,52.167176,0.07,1.05147,Creeting
Bramham,Bramham Beck,L2035,1,53.880307,0.149,-1.355437,Bramham Screens
Chipping Sodbury,Bristol Frome,53192,0.979,51.542061,0.371,-2.385953,Chipping Sodbury
Wembley,Wealdstone Brook,3839TH,1.8,51.562196,0.066,-0.27948,Wembley
Durham,River Wear,0240120,2.63,54.776573,0.226,-1.57257,Durham New Elvet Bridge
Keswick,River Greta,750917,1.31,54.601275,0.173,-3.1492,Keswick Campsite
Leintwardine,River Teme,2132,1.4,52.359087,0.315,-2.876144,Leintwardine
Westwood,River Avon,53155,1.4,51.34297,1.014,-2.266608,Bradford on Avon
Swanage,Swan Brook,44224,0.65,50.613227,0.067,-1.971617,Swanage Prospect Farm Swan Brook
Penketh,Mersey,694063,3.705,53.374184,2.611,-2.653505,Fiddlers Ferry
Castle Carrock,Gelt,763201,0.741,54.894613,0.193,-2.686767,Hynam Bridge
Sheepwash,River Torridge,50118,1.427,50.843021,0.251,-4.122236,Rockhay Bridge
Kielder reservoir,River North Tyne,023022,1.3,55.180934,0.294,-2.45221,Ugly Dub
Sidcup,Shuttle Tributary  Cray,E15280,1,51.440152,0.278,0.113674,Lamorbey Park
Aylesbury,Bear Brook,1925TH,1.331,51.817792,0.968,-0.801624,Aylesbury
Huddersfield,Rive Colne,F1104,1.23,53.641316,0.209,-1.795095,Huddersfield Longroyd Bridge
Fleetwood,Lune And Wyre,720763,unknown,53.926518,unknown,-3.00474,Fleetwood
Blunham,River Ivel,E21647,0.549,52.144358,0.175,-0.316453,Blunham
Leatherhead,Mole,3280TH,2.4,51.294985,1.006,-0.336089,Leatherhead
London Apprentice,St Austell River,48158,1.099,50.311776,0.592,-4.800075,Molingey
Icklingham,Lark,E22358,0.619,52.326416,0.15,0.578416,Temple
Stratton St Margaret,Cole,0710TH,1.6,51.569689,0.935,-1.735909,Lower Stratton
Cundall,Cundall Beck,F2311,0.256,54.145714,0.094,-1.36005,Bat Bridge
Northwich,Weaver,680525,1.34,53.258272,0.505,-2.51651,Hayhurst Bridge
Whitwell,Mimram,4730TH,0.4,51.876889,0.021,-0.28128,Whitwell
Killington,Lune,722421,2,54.310113,0.17,-2.582471,Killington
Barton-Upon-Humber,Humber,E1435,1.2,53.689691,0.269,-0.441704,Barton on Humber
Loudwater,Wye,2581TH,0.739,51.609179,0.439,-0.699391,Loudwater
Grinton,River Swale,L2309,1.5,54.38106,0,-1.929136,Grinton Bridge
Tewin,Mimram,4790TH,0.8,51.803418,0.312,-0.141267,Panshanger
Delph,Tame,692419,0.293,53.566913,0.089,-2.021999,Delph
Old Windsor,Thames,2703TH,0.349,51.463198,0.096,-0.569077,Old Windsor Lock
Wineham,Adur,E9130,1.35,50.957409,0.162,-0.265959,Sakeham Weir
Bridgwater,River Parrett (Tidal),52124,unknown,51.129895,unknown,-3.001618,West Quay
Buntingford,Rib,4912TH,1.6,51.946826,0.061,-0.016987,Buntingford
Culham,Thames,1799TH,0.298,51.6506,0.038,-1.267131,Culham Lock
Haweswater Reservoir,Haweswater Reservoir,761102,31.312,54.534679,21.556,-2.769772,Haweswater Reservoir
Glazebrook,Little Woolden Hall,693032,1.9,53.440813,0.378,-2.475817,Little Woolden Hall
Gloucester,Sud Brook,2666,0.457,51.85211,0.232,-2.233328,Matson Place
Moreton,Cripsey Brook,5425TH,1.5,51.739256,0.055,0.219552,Moreton
Forest Row,Medway,E1560,1.3,51.095381,0.04,0.052195,Forest Row
Thrupp,Cherwell,1465TH,1.936,51.840425,0.654,-1.30005,Thrupp
Benson,Thames,2001TH,0.309,51.617191,0.038,-1.116011,Benson Lock
Sidbury,River Sid,45209,0.494,50.717781,0.141,-3.219793,Sidbury
Huntingfield,Huntingfield Watercourse,E24819,2.7,52.318638,0,1.425054,Huntingfield
Keynsham,River Avon,531160,5.83,51.419019,4.96,-2.487954,Keynsham US
Wakefield,Ings Beck,L1352,1.27,53.680366,0.35,-1.509072,Wakefield Westgate
Lydney,River Lyd,2629,0.7,51.72971,0.131,-2.534804,Lydney
Great Mitton,Ribble,710305,2.5,53.848003,0.331,-2.424337,Henthorn
Eskdale Green,Esk (Cumbria),742006,1.88,54.36799,0.37,-3.339036,Cropple Howe
Waterfoot,Irwell,690120,0.395,53.693137,0.125,-2.257828,Holt Mill Bridge
Godney,River Sheppey,52212,0.414,51.191655,0.095,-2.719186,Fenny Castle
Gloucester,Dimore Brook,2258,0.542,51.824551,0.162,-2.297854,The Causeway
Padiham,River Calder,712223,1.5,53.800228,0.277,-2.314843,Padiham Town Centre
Langworth,Barlings Eau,E1746,2.41,53.275665,0.105,-0.402812,Langworth
Maidstone,Medway,E140,1.25,51.271553,0.234,0.518493,Maidstone
Chesterfield,River Hipper,L0233,0.82,53.232965,0.002,-1.430996,Chesterfield Park Road Bridge
Bradworthy,River Waldon,50146,0.404,50.90173,0.129,-4.392867,Bradworthy
Little Walsingham,River Stiffkey,E24313,0.53,52.891548,0.066,0.874601,Little Walsingham
Kildwick,River Aire,F1503,1.45,53.907443,0.194,-1.984735,Kildwick
Skipton,Haw Beck,L1538,1.6,53.960831,0.163,-2.011844,Skibeden Beck
Bamber Bridge,Lostock,700515,1.75,53.724643,0.063,-2.670129,Bamber Bridge
